,Date,Sunrise,Sunset,Sunrise Dec,Sunset Dec,Daylight Hours
0,2013-01-01 00:00:00,0708,1659,7.13,16.98,9.850000000000001
1,2013-01-02 00:00:00,0708,1700,7.13,17.0,9.870000000000001
2,2013-01-03 00:00:00,0709,1701,7.15,17.02,9.87
3,2013-01-04 00:00:00,0709,1702,7.15,17.03,9.88
4,2013-01-05 00:00:00,0709,1703,7.15,17.05,9.9
5,2013-01-06 00:00:00,0709,1703,7.15,17.05,9.9
6,2013-01-07 00:00:00,0709,1704,7.15,17.07,9.92
7,2013-01-08 00:00:00,0709,1705,7.15,17.08,9.929999999999998
8,2013-01-09 00:00:00,0709,1706,7.15,17.1,9.950000000000001
9,2013-01-10 00:00:00,0709,1707,7.15,17.12,9.97
10,2013-01-11 00:00:00,0709,1708,7.15,17.13,9.979999999999999
11,2013-01-12 00:00:00,0708,1709,7.13,17.15,10.02
12,2013-01-13 00:00:00,0708,1710,7.13,17.17,10.040000000000003
13,2013-01-14 00:00:00,0708,1711,7.13,17.18,10.05
14,2013-01-15 00:00:00,0708,1712,7.13,17.2,10.07
15,2013-01-16 00:00:00,0707,1713,7.12,17.22,10.099999999999998
16,2013-01-17 00:00:00,0707,1714,7.12,17.23,10.11
17,2013-01-18 00:00:00,0707,1715,7.12,17.25,10.129999999999999
18,2013-01-19 00:00:00,0706,1716,7.1,17.27,10.17
19,2013-01-20 00:00:00,0706,1717,7.1,17.28,10.180000000000001
20,2013-01-21 00:00:00,0705,1718,7.08,17.3,10.22
21,2013-01-22 00:00:00,0705,1719,7.08,17.32,10.24
22,2013-01-23 00:00:00,0705,1720,7.08,17.33,10.249999999999998
23,2013-01-24 00:00:00,0704,1721,7.07,17.35,10.280000000000001
24,2013-01-25 00:00:00,0703,1722,7.05,17.37,10.32
25,2013-01-26 00:00:00,0703,1723,7.05,17.38,10.329999999999998
26,2013-01-27 00:00:00,0702,1724,7.03,17.4,10.369999999999997
27,2013-01-28 00:00:00,0702,1725,7.03,17.42,10.39
28,2013-01-29 00:00:00,0701,1726,7.02,17.43,10.41
29,2013-01-30 00:00:00,0700,1727,7.0,17.45,10.45
30,2013-01-31 00:00:00,0659,1728,6.98,17.47,10.489999999999998
31,2013-02-01 00:00:00,0659,1729,6.98,17.48,10.5
32,2013-02-02 00:00:00,0658,1730,6.97,17.5,10.530000000000001
33,2013-02-03 00:00:00,0657,1731,6.95,17.52,10.57
34,2013-02-04 00:00:00,0656,1732,6.93,17.53,10.600000000000001
35,2013-02-05 00:00:00,0655,1733,6.92,17.55,10.63
36,2013-02-06 00:00:00,0655,1734,6.92,17.57,10.65
37,2013-02-07 00:00:00,0654,1735,6.9,17.58,10.679999999999998
38,2013-02-08 00:00:00,0653,1736,6.88,17.6,10.720000000000002
39,2013-02-09 00:00:00,0652,1737,6.87,17.62,10.75
40,2013-02-10 00:00:00,0651,1738,6.85,17.63,10.78
41,2013-02-11 00:00:00,0650,1739,6.83,17.65,10.819999999999999
42,2013-02-12 00:00:00,0649,1740,6.82,17.67,10.850000000000001
43,2013-02-13 00:00:00,0648,1741,6.8,17.68,10.879999999999999
44,2013-02-14 00:00:00,0647,1742,6.78,17.7,10.919999999999998
45,2013-02-15 00:00:00,0646,1743,6.77,17.72,10.95
46,2013-02-16 00:00:00,0645,1744,6.75,17.73,10.98
47,2013-02-17 00:00:00,0644,1745,6.73,17.75,11.02
48,2013-02-18 00:00:00,0642,1746,6.7,17.77,11.07
49,2013-02-19 00:00:00,0641,1747,6.68,17.78,11.100000000000001
50,2013-02-20 00:00:00,0640,1748,6.67,17.8,11.13
51,2013-02-21 00:00:00,0639,1749,6.65,17.82,11.17
52,2013-02-22 00:00:00,0638,1749,6.63,17.82,11.190000000000001
